,locationID,locationName,location,city,state,country,zipCode,phoneNumber,website,latitude,longitude,hoursOperation,providerCategory
0,524f439d-26c3-4997-b116-24a58ea17cad,Hospiten Santo Domingo,"Av Alma Mater s/n, Santo Domingo 10108, Dominican Republic",Santo Domingo,,Dominican Republic,,1809-541-3000,http://www.hospiten.com/,18.4651946,-69.9211553,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Hospitals
1,2f50ee05-aabd-403e-a07c-314184ba4868,Hospiten Bavaro,"Carretera Verón - Punta Cana,106, Punta Cana 23000, Dominican Republic",Punta Cana,,Dominican Republic,,1809-686-1414,http://www.hospiten.com/,18.598494,-68.414154,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Hospitals
2,13b175c9-a2d8-4292-bc73-23c9796ca940,Clinica Union Medica Del Norte,"Avenida Juan Pablo Duarte, Santiago De Los Caballeros 51000, Dominican Republic",Santiago De Los Caballeros,,Dominican Republic,,1809-226-8686,http://www.clinicaunionmedica.com/,19.4593051,-70.6802661,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Hospitals
